id;date;decision;motif
1;2022-12-23T16:00:41;white Borders;end-to-end
2;2022-12-23T09:59:40;Account Re-contextualized;Buckinghamshire Centralized
3;2022-12-23T18:14:49;unleash a c;Hat
4;2022-12-23T12:54:11;Outdoors Oman;Hat Technicien programming
5;2022-12-23T07:59:39;Home;redundant deposit
6;2022-12-23T04:56:49;Rhône-Alpes back-end d'Assas;bus
7;2022-12-23T05:02:37;Bedfordshire;impactful CSS
8;2022-12-22T19:37:16;Enhanced AI firmware;a c
9;2022-12-23T08:56:45;Triple-buffered;open-source
10;2022-12-23T13:52:37;a;synthesize engineer
